spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
"Reference
(Full Cohort B)",TRUE,"Candidacy
(pp)",592,-2.0178213967179164,2.8779080779437267,-7.65852122948762,3.622878436051788,0.4832352511151824,FALSE,Reference
"Reference
(Full Cohort B)",TRUE,"Reelection
(pp)",623,-3.0789748705116335,3.0268143827632317,-9.011531060727567,2.8535813197043,0.30907302943710335,FALSE,Reference
"Reference
(Full Cohort B)",TRUE,"Winner vote share
(% valid votes)",637,-0.9896094467703651,0.7090882331195234,-2.3794223836846307,0.40020349014390066,0.1628672961842156,FALSE,Reference
"Reference
(Full Cohort B)",TRUE,"Abstention
(% registered)",637,-0.8786501717028102,0.42296560219037366,-1.7076627519959426,-0.04963759140967783,0.037797319969069786,TRUE,Reference
"Reference
(Full Cohort B)",TRUE,"Candidate turnover
(%)",621,0.9148302669823809,1.123334471931413,-1.2869052980031883,3.11656583196795,0.41544927086260097,FALSE,Reference
"Reference
(Full Cohort B)",TRUE,"Incumbent vote share
(% valid votes)",429,1.4988026794833478,1.34787255448598,-1.1430275273091728,4.140632886275869,0.26621616199402526,FALSE,Reference
[Milestones] Application filed (n=585),FALSE,"Candidacy
(pp)",530,-0.09663778777832649,2.463812447859776,-4.925710185583487,4.732434610026834,0.9687137245122567,FALSE,p >= 0.05
[Milestones] Application filed (n=585),FALSE,"Reelection
(pp)",550,1.6551338911688398,2.608809568598584,-3.458132863284385,6.768400645622064,0.5258119706725202,FALSE,p >= 0.05
[Milestones] Application filed (n=585),FALSE,"Winner vote share
(% valid votes)",585,0.3251258547187478,0.6058883239241967,-0.8624152601726777,1.5126669696101733,0.5915506907801509,FALSE,p >= 0.05
[Milestones] Application filed (n=585),FALSE,"Abstention
(% registered)",585,-0.5803996725677923,0.36673059101451616,-1.2991916309562441,0.13839228582065932,0.1135418431614228,FALSE,p >= 0.05
[Milestones] Application filed (n=585),FALSE,"Candidate turnover
(%)",573,-1.0047777376375944,0.9316289414755377,-2.830770462929648,0.8212149876544594,0.2808397589483201,FALSE,p >= 0.05
[Milestones] Application filed (n=585),FALSE,"Incumbent vote share
(% valid votes)",401,-0.17572378188154586,1.0227140321659147,-2.1802432849267386,1.828795721163647,0.8635871255431685,FALSE,p >= 0.05
[Milestones] Authorization granted (n=628),FALSE,"Candidacy
(pp)",581,-4.856673625820193,2.6529350947529577,-10.056426411535991,0.34307915989560467,0.0671864781533532,FALSE,p >= 0.05
[Milestones] Authorization granted (n=628),FALSE,"Reelection
(pp)",607,-4.127042626749641,2.8128594065223367,-9.64024706353342,1.3861618100341389,0.14235933515766525,FALSE,p >= 0.05
[Milestones] Authorization granted (n=628),FALSE,"Winner vote share
(% valid votes)",628,-0.3439968758699932,0.6414255667974269,-1.60119098679295,0.9131972350529636,0.591764384783981,FALSE,p >= 0.05
[Milestones] Authorization granted (n=628),FALSE,"Abstention
(% registered)",628,-0.9072289580024053,0.39186006501763204,-1.675274685436964,-0.13918323056784654,0.02062558740492952,TRUE,p < 0.05
[Milestones] Authorization granted (n=628),FALSE,"Candidate turnover
(%)",618,-1.1634182279644412,1.0799163454960015,-3.280054265136604,0.9532178092077217,0.28137222634138914,FALSE,p >= 0.05
[Milestones] Authorization granted (n=628),FALSE,"Incumbent vote share
(% valid votes)",422,0.23784963203576043,1.2255521496029431,-2.164232581186008,2.6399318452575287,0.8461267740723448,FALSE,p >= 0.05
[Milestones] Commissioning (n=637),FALSE,"Candidacy
(pp)",592,-2.0178213967179164,2.8779080779437267,-7.65852122948762,3.622878436051788,0.4832352511151824,FALSE,p >= 0.05
[Milestones] Commissioning (n=637),FALSE,"Reelection
(pp)",623,-3.0789748705116335,3.0268143827632317,-9.011531060727567,2.8535813197043,0.30907302943710335,FALSE,p >= 0.05
[Milestones] Commissioning (n=637),FALSE,"Winner vote share
(% valid votes)",637,-0.9896094467703651,0.7090882331195234,-2.3794223836846307,0.40020349014390066,0.1628672961842156,FALSE,p >= 0.05
[Milestones] Commissioning (n=637),FALSE,"Abstention
(% registered)",637,-0.8786501717028102,0.42296560219037366,-1.7076627519959426,-0.04963759140967783,0.037797319969069786,TRUE,p < 0.05
[Milestones] Commissioning (n=637),FALSE,"Candidate turnover
(%)",621,0.9148302669823809,1.123334471931413,-1.2869052980031883,3.11656583196795,0.41544927086260097,FALSE,p >= 0.05
[Milestones] Commissioning (n=637),FALSE,"Incumbent vote share
(% valid votes)",429,1.4988026794833478,1.34787255448598,-1.1430275273091728,4.140632886275869,0.26621616199402526,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=230),FALSE,"Candidacy
(pp)",223,-2.706764525751761,4.334260873817022,-11.201915838433123,5.788386786929602,0.5323579651272801,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=230),FALSE,"Reelection
(pp)",227,-0.6563474855605962,4.913108431048462,-10.286040010415581,8.973345039294388,0.8937374908397944,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=230),FALSE,"Winner vote share
(% valid votes)",230,-1.0386261077925345,1.2198917681893398,-3.42961397344364,1.3523617578585714,0.39462475792528595,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=230),FALSE,"Abstention
(% registered)",230,-0.7584854450372981,0.7567800862991894,-2.241774414183709,0.724803524109113,0.3163190214509327,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=230),FALSE,"Candidate turnover
(%)",225,1.8785511488509563,1.784765627981459,-1.619589481992703,5.376691779694616,0.29267263883391964,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=230),FALSE,"Incumbent vote share
(% valid votes)",156,3.1134330220700086,2.1914545005832484,-1.1818177990731584,7.408683843213176,0.155651136049523,FALSE,p >= 0.05
[Regions] Grand Est (n=99),FALSE,"Candidacy
(pp)",90,12.232860331679744,7.214218419704744,-1.9070077709415543,26.37272843430104,0.09019678139436861,FALSE,p >= 0.05
[Regions] Grand Est (n=99),FALSE,"Reelection
(pp)",99,1.7579923120681415,7.317705893732759,-12.584711239648065,16.10069586378435,0.8101836138873079,FALSE,p >= 0.05
[Regions] Grand Est (n=99),FALSE,"Winner vote share
(% valid votes)",99,-3.5716482479188234,1.3947499466435374,-6.305358143340157,-0.8379383524974902,0.010547234757910886,TRUE,p < 0.05
[Regions] Grand Est (n=99),FALSE,"Abstention
(% registered)",99,-3.0481620107411684,1.1274125117077416,-5.257890533688342,-0.8384334877939947,0.0069401836273370425,TRUE,p < 0.05
[Regions] Grand Est (n=99),FALSE,"Candidate turnover
(%)",94,2.8363761641239185,3.031438966374377,-3.10524420996986,8.777996538217696,0.34963852022813824,FALSE,p >= 0.05
[Regions] Grand Est (n=99),FALSE,"Incumbent vote share
(% valid votes)",76,-1.5799755426440052,2.0820750524975935,-5.660842645539288,2.5008915602512776,0.4482001358780715,FALSE,p >= 0.05
[Regions] Brittany (n=24),FALSE,"Candidacy
(pp)",23,-15.122504427685879,14.930335988241783,-44.38596296463977,14.140954109268016,0.3116196229257903,FALSE,p >= 0.05
[Regions] Brittany (n=24),FALSE,"Reelection
(pp)",23,-20.602654734877362,14.493641480960342,-49.010192037559634,7.804882567804906,0.15576295453037406,FALSE,p >= 0.05
[Regions] Brittany (n=24),FALSE,"Winner vote share
(% valid votes)",24,4.072704918959712,4.984830013068417,-5.697561906654386,13.84297174457381,0.41424247120393043,FALSE,p >= 0.05
[Regions] Brittany (n=24),FALSE,"Abstention
(% registered)",24,0.735860734589062,2.0005260607344866,-3.1851703444505315,4.656891813628656,0.7131274564378072,FALSE,p >= 0.05
